trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version,event_detail,deal_ticket,position_id,modify_reason,modify_count,tx_authority,pack_dir_at_entry,active_model_pack_dir,runtime_reload_status,ea_version,log_schema_version
TS_00511,2023.03.14 06:20:00,US100,ENTRY,LONG,0.0800,11990.50000000,,11938.13000000,12095.24000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.171849,0,0.1.0,0.1.0,0.1.0,0.1,,1022,1022,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00511,2023.03.14 09:13:55,US100,EXIT,LONG,0.0800,11990.50000000,11938.00000000,11938.13000000,12095.24000000,-4.20,6.000000,12.000000,6.000000,12.000000,72,34,SL,3,0.171849,0,0.1.0,0.1.0,0.1.0,0.1,,1023,1022,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00512,2023.03.14 09:30:00,US100,ENTRY,LONG,0.0400,11945.90000000,,11854.91000000,12127.87000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.151672,1,0.1.0,0.1.0,0.1.0,0.1,,1024,1024,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00512,2023.03.14 15:30:00,US100,EXIT,LONG,0.0400,11945.90000000,11983.35000000,11854.91000000,12127.87000000,1.50,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,3,0.151672,1,0.1.0,0.1.0,0.1.0,0.1,,1025,1024,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00513,2023.03.14 15:40:00,US100,ENTRY,LONG,0.0200,12006.15000000,,11824.97000000,12368.51000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.059610,0,0.1.0,0.1.0,0.1.0,0.1,,1026,1026,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00513,2023.03.14 21:40:00,US100,EXIT,LONG,0.0200,12006.15000000,12124.00000000,11824.97000000,12368.51000000,2.36,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,3,0.059610,0,0.1.0,0.1.0,0.1.0,0.1,,1027,1026,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00514,2023.03.14 22:10:00,US100,ENTRY,LONG,0.0200,12066.75000000,,11897.11000000,12406.03000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.053053,1,0.1.0,0.1.0,0.1.0,0.1,,1028,1028,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00514,2023.03.15 05:10:00,US100,EXIT,LONG,0.0200,12066.75000000,12221.65000000,11897.11000000,12406.03000000,3.02,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,3,0.053053,1,0.1.0,0.1.0,0.1.0,0.1,,1029,1028,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00515,2023.03.15 06:25:00,US100,ENTRY,LONG,0.0800,12227.90000000,,12178.34000000,12327.03000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.181582,0,0.1.0,0.1.0,0.1.0,0.1,,1030,1030,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00515,2023.03.15 12:23:05,US100,EXIT,LONG,0.0800,12227.90000000,12177.40000000,12178.34000000,12327.03000000,-4.04,6.000000,12.000000,6.000000,12.000000,72,71,SL,5,0.181582,0,0.1.0,0.1.0,0.1.0,0.1,,1031,1030,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
