candidate_id,search_rank,is_baseline,fold_id,regime_id,side,status,fallback_used,fallback_reason,train_count,val_count,metrics_present,raw_all_finite,effective_all_finite,contract_valid,holds_integral,normalized_effective_mae_mean,baseline_normalized_effective_mae_mean,beats_default_baseline,hold_boundary_rate
stage2_c05,5,False,0,4,SHORT,trained,False,,907,841,True,True,True,True,True,0.24671402184139377,0.29829197723977874,True,0.0
stage2_c05,5,False,0,5,LONG,trained,False,,4744,2769,True,True,True,True,True,0.20191980873619872,0.25274226964712804,True,0.001444564824846515
stage2_c05,5,False,0,5,SHORT,trained,False,,4391,2576,True,True,True,True,True,0.20578467298346803,0.2456380748833956,True,0.0
stage2_c05,5,False,1,0,LONG,trained,False,,112,30,True,True,True,True,True,0.27281366147098757,0.387075284380857,True,0.0
stage2_c05,5,False,1,0,SHORT,trained,False,,68,16,True,True,True,True,True,0.16475502991688942,0.27951205255246897,True,0.0
stage2_c05,5,False,1,1,LONG,trained,False,,434,112,True,True,True,True,True,0.2447491693652517,0.2875899998144334,True,0.0
stage2_c05,5,False,1,1,SHORT,trained,False,,353,88,True,True,True,True,True,0.19915041710144235,0.2526462222852024,True,0.0
stage2_c05,5,False,1,2,LONG,trained,False,,1627,399,True,True,True,True,True,0.20874569948090418,0.30566111692227654,True,0.0
stage2_c05,5,False,1,2,SHORT,trained,False,,1598,302,True,True,True,True,True,0.2315773195212989,0.29093406252415593,True,0.0
stage2_c05,5,False,1,3,LONG,trained,False,,5260,1280,True,True,True,True,True,0.21913698078588814,0.26958696348048766,True,0.0
stage2_c05,5,False,1,3,SHORT,trained,False,,5123,1284,True,True,True,True,True,0.21402782712623666,0.25049975809858144,True,0.0
stage2_c05,5,False,1,4,LONG,trained,False,,1452,293,True,True,True,True,True,0.2487568308361204,0.31948265290864286,True,0.0
stage2_c05,5,False,1,4,SHORT,trained,False,,1460,296,True,True,True,True,True,0.2298792713285157,0.27525348652109216,True,0.0
stage2_c05,5,False,1,5,LONG,trained,False,,6104,1408,True,True,True,True,True,0.20799103309274103,0.25566328787794435,True,0.0
stage2_c05,5,False,1,5,SHORT,trained,False,,5550,1436,True,True,True,True,True,0.2145967681811992,0.2558954620999288,True,0.0
stage2_c06,6,False,0,0,LONG,trained,False,,70,72,True,True,True,True,True,0.27128873093661116,0.37441417646561553,True,0.0
stage2_c06,6,False,0,0,SHORT,trained,False,,38,46,True,True,True,True,True,0.22789068299973347,0.29232956310354535,True,0.0
stage2_c06,6,False,0,1,LONG,trained,False,,346,200,True,True,True,True,True,0.23763365815384588,0.27944487743324237,True,0.0
stage2_c06,6,False,0,1,SHORT,trained,False,,283,158,True,True,True,True,True,0.20424583141345756,0.23848858565579364,True,0.0
stage2_c06,6,False,0,2,LONG,trained,False,,1057,972,True,True,True,True,True,0.22946866457017398,0.3041220915390247,True,0.0
stage2_c06,6,False,0,2,SHORT,trained,False,,980,917,True,True,True,True,True,0.23348305803610284,0.3037612169916784,True,0.0
stage2_c06,6,False,0,3,LONG,trained,False,,4173,2367,True,True,True,True,True,0.2087543521947385,0.2600411164531878,True,0.0
stage2_c06,6,False,0,3,SHORT,trained,False,,4124,2282,True,True,True,True,True,0.20122384253442802,0.2377448733397174,True,0.0
stage2_c06,6,False,0,4,LONG,trained,False,,924,828,True,True,True,True,True,0.23256032378127967,0.3089520299509916,True,0.0
stage2_c06,6,False,0,4,SHORT,trained,False,,907,841,True,True,True,True,True,0.2434348154579261,0.29829197723977874,True,0.0
stage2_c06,6,False,0,5,LONG,trained,False,,4744,2769,True,True,True,True,True,0.2016308682193786,0.25274226964712804,True,0.0
stage2_c06,6,False,0,5,SHORT,trained,False,,4391,2576,True,True,True,True,True,0.2044220508613701,0.2456380748833956,True,0.0
stage2_c06,6,False,1,0,LONG,trained,False,,112,30,True,True,True,True,True,0.27601055462641894,0.387075284380857,True,0.0
stage2_c06,6,False,1,0,SHORT,trained,False,,68,16,True,True,True,True,True,0.1679120958521961,0.27951205255246897,True,0.0
stage2_c06,6,False,1,1,LONG,trained,False,,434,112,True,True,True,True,True,0.2431927451934263,0.2875899998144334,True,0.0
stage2_c06,6,False,1,1,SHORT,trained,False,,353,88,True,True,True,True,True,0.19701771668693255,0.2526462222852024,True,0.0
stage2_c06,6,False,1,2,LONG,trained,False,,1627,399,True,True,True,True,True,0.21101273528770412,0.30566111692227654,True,0.0
stage2_c06,6,False,1,2,SHORT,trained,False,,1598,302,True,True,True,True,True,0.2306485658519004,0.29093406252415593,True,0.0
stage2_c06,6,False,1,3,LONG,trained,False,,5260,1280,True,True,True,True,True,0.21701958843402022,0.26958696348048766,True,0.0
stage2_c06,6,False,1,3,SHORT,trained,False,,5123,1284,True,True,True,True,True,0.21305917054504328,0.25049975809858144,True,0.0
stage2_c06,6,False,1,4,LONG,trained,False,,1452,293,True,True,True,True,True,0.24461842952297838,0.31948265290864286,True,0.0
stage2_c06,6,False,1,4,SHORT,trained,False,,1460,296,True,True,True,True,True,0.23151768883100984,0.27525348652109216,True,0.0
stage2_c06,6,False,1,5,LONG,trained,False,,6104,1408,True,True,True,True,True,0.20817173969243954,0.25566328787794435,True,0.0
stage2_c06,6,False,1,5,SHORT,trained,False,,5550,1436,True,True,True,True,True,0.21454902205806523,0.2558954620999288,True,0.0
stage2_c07,7,False,0,0,LONG,trained,False,,70,72,True,True,True,True,True,0.2720442650221186,0.37441417646561553,True,0.0
stage2_c07,7,False,0,0,SHORT,trained,False,,38,46,True,True,True,True,True,0.22789068299973347,0.29232956310354535,True,0.0
stage2_c07,7,False,0,1,LONG,trained,False,,346,200,True,True,True,True,True,0.2388127864346072,0.27944487743324237,True,0.0
stage2_c07,7,False,0,1,SHORT,trained,False,,283,158,True,True,True,True,True,0.20375855814629365,0.23848858565579364,True,0.0
stage2_c07,7,False,0,2,LONG,trained,False,,1057,972,True,True,True,True,True,0.23042756986993773,0.3041220915390247,True,0.0
stage2_c07,7,False,0,2,SHORT,trained,False,,980,917,True,True,True,True,True,0.2357657122036103,0.3037612169916784,True,0.0
stage2_c07,7,False,0,3,LONG,trained,False,,4173,2367,True,True,True,True,True,0.20910753225693957,0.2600411164531878,True,0.0
stage2_c07,7,False,0,3,SHORT,trained,False,,4124,2282,True,True,True,True,True,0.19998233297027476,0.2377448733397174,True,0.0
stage2_c07,7,False,0,4,LONG,trained,False,,924,828,True,True,True,True,True,0.23488012020849877,0.3089520299509916,True,0.0
stage2_c07,7,False,0,4,SHORT,trained,False,,907,841,True,True,True,True,True,0.243513273627643,0.29829197723977874,True,0.0
stage2_c07,7,False,0,5,LONG,trained,False,,4744,2769,True,True,True,True,True,0.2011660521963524,0.25274226964712804,True,0.0
stage2_c07,7,False,0,5,SHORT,trained,False,,4391,2576,True,True,True,True,True,0.20502220703078997,0.2456380748833956,True,0.0
stage2_c07,7,False,1,0,LONG,trained,False,,112,30,True,True,True,True,True,0.2716692264089766,0.387075284380857,True,0.0
